ID,Title,Price,Description
63,Pc Portable DELL Vostro 3520 / i3-1215U / 12 Go / 512 Go SSD / Noir Avec SACOCHE Offert,"1 029,000 DT","Écran 15.6"" Full HD - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 12 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - FreeDos - Couleur Noir - Garantie 1 an Avec SACOCHE Offert"
64,Pc Portable HP 15-fd0029nk / Intel N100 / 32 Go / Windows 11 / Bleu,"1 038,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 32 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gris ardoise - Windows 11 - Garantie 1 an"
65,Pc Portable DELL Vostro 3520 / i3-1215U / 12 Go / Noir,"1 039,000 DT","Écran 15,6"" HD - Processeur Intel Core i3-1215U, 12e génération, up to 4.4 GHz, 10 Mo de mémoire Cache - Mémoire 12 Go - Disque SSD 256 Go M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Caméra HD 720p -  - WiFi - Bluetooth - USB 3.2 - 1 prise casque - 1x HDMI 1.4 - 1x RJ-45 - Lecteur de carte SD - Windows 11 - Couleur Noir - Garantie 1 an"
66,Pc Portable Lenovo IdeaPad 1 15IAU7 / i3-1215U / 12 Go / Gris / Avec Sac Lenovo Offert,"1 039,000 DT","Écran 15.6"" Full HD (1920 x 1080), antireflet - Processeur Intel Core i3-1215U 12e génération, (jusqu’à 4.4, 10 Mo de mémoire cache) - Mémoire 12 Go DDR4 - Disque SSD NVMe M.2 512 Go - Carte graphique Intel UHD Graphics - Lecteur de carte SD - 2x Haut-parleurs stéréo 1.5W, Dolby Audio - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi 6 - Bluetooth 5.2 - 1x USB 2.0 - 1x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4b - 1x prise combo casque/microphone (3.5 mm) - Windows 11 - Couleur Gris - Garantie 2 ans Avec Sac Lenovo Offert"
67,Pc Portable DELL Vostro 3520 / i3-1215U / 16 Go / 512 Go SSD / Noir,"1 049,000 DT","Écran 15.6"" Full HD - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 16 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - FreeDos - Couleur Noir - Garantie 1 an"
68,Pc Portable DELL Vostro 3520 / i3-1215U / 12 Go / Noir Avec SACOCHE Offerte,"1 049,000 DT","Écran 15,6"" HD - Processeur Intel Core i3-1215U, 12e génération, up to 4.4 GHz, 10 Mo de mémoire Cache - Mémoire 12 Go - Disque SSD 256 Go M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Caméra HD 720p -  - WiFi - Bluetooth - USB 3.2 - 1 prise casque - 1x HDMI 1.4 - 1x RJ-45 - Lecteur de carte SD - Windows 11 - Couleur Noir - Garantie 1 an Avec SACOCHE Offerte"
69,Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 4 Go / Win11 / Silver,"1 049,000 DT","Ecran 15.6"" LED Full HD - Processeur Intel Core i3-1315U Up to 4.5 GHz, 10 Mo de mémoire cache - Mémoire 4 Go - Disque 256 Go SSD - Carte graphique Intel UHD graphics - WiFi - Bluetooth - HDMI - USB 3.2 Type C - USB 3.2 Type-A - Jack 3,5mm - Webcam - Couleur Silver - Windows 11 - Garantie 1 an"
70,Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 4 Go / Win11 / Bleu,"1 049,000 DT","Ecran 15.6"" LED Full HD - Processeur Intel Core i3-1315U Up to 4.5 GHz, 10 Mo de mémoire cache - Mémoire 4 Go - Disque 256 Go SSD - Carte graphique Intel UHD graphics - WiFi - Bluetooth - HDMI - USB 3.2 Type C - USB 3.2 Type-A - Jack 3,5mm - Webcam - Couleur Silver - Windows 11 - Garantie 1 an"
71,Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 4 Go / Win11 / Silver Avec SACOCHE Offerte,"1 055,000 DT","Ecran 15.6"" LED Full HD - Processeur Intel Core i3-1315U Up to 4.5 GHz, 10 Mo de mémoire cache - Mémoire 4 Go - Disque 256 Go SSD - Carte graphique Intel UHD graphics - WiFi - Bluetooth - HDMI - USB 3.2 Type C - USB 3.2 Type-A - Jack 3,5mm - Webcam - Couleur Silver - Windows 11 - Avec SACOCHE Offert - Garantie 1 an"
72,Pc Portable Lenovo V15 G3 IAP / I3 12 ème gén  / 12 Go + Sacoche T210 Offerte,"1 055,000 DT","‎Écran 15,6"" HD 720P - Processeur Intel Core i3-1215U, up to 4.4 Ghz, 10 Mo de cache - Mémoire 12 Go DDR4-3200 MHz - Disque SSD 256 Go M.2 PCIe 4.0 NVMe - Carte Graphique Intel UHD Graphics - 2x Haut-parleurs 1.5W - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi  - Bluetooth 5.1 - 1x USB 2.0 - 1x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4b - 1x Ethernet (RJ-45) - 1x Jack (3.5 mm) - Couleur Noir - Garantie 2 ans + Sacoche T210 Offerte"
73,Pc Portable HP 15-fd0029nk / Intel N100 / 32 Go / Windows 11 / Bleu  + Sac à dos HP Offert,"1 059,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 32 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gris ardoise - Windows 11 - Garantie 1 an + Sac à dos HP Offert"
74,Pc Portable DELL Vostro 3520 / i3-1215U / 8 Go / 512 Go SSD /Windows 11 pro /Noir,"1 059,000 DT","Écran 15.6"" Full HD - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 8 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - FreeDos - Couleur Noir - Windows 11 pro - Garantie 1 an"
75,Pc Portable DELL Vostro 3520 / i3-1215U / 16 Go / 512 Go SSD / Noir Avec SACOCHE Offert,"1 065,000 DT","Écran 15.6"" Full HD - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 16 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - FreeDos - Couleur Noir - Garantie 1 an Avec SACOCHE Offert"
76,Pc Portable Lenovo IdeaPad Slim 3 15IRU8 / i3-1305U / 8 Go / Gris / Avec Sacoche Lenovo Offerte,"1 069,000 DT","Écran 15.6"" Full HD (1920 x 1080), antireflet - Processeur Intel Core i3-1305U 13e génération, (jusqu’à 4.5, 10 Mo de mémoire cache) - Mémoire 8 Go LPDDR5 - Disque SSD NVMe M.2 256 Go - Carte graphique Intel UHD intégrés - Lecteur de carte SD - 2x Haut-parleurs stéréo 1.5 W, avec Dolby Audio - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi - Bluetooth 5.2 - 2x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4 - 1x prise combo casque/microphone (3.5 mm) - FreeDOS - Couleur Gris arctique - Garantie 2 ans Avec Sacoche Lenovo Offerte"
77,Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 8 Go / Win11 / Bleu,"1 069,000 DT","Ecran 15.6"" LED Full HD - Processeur Intel Core i3-1315U Up to 4.5 GHz, 10 Mo de mémoire cache - Mémoire 8 Go - Disque 256 Go SSD - Carte graphique Intel UHD graphics - WiFi - Bluetooth - HDMI - USB 3.2 Type C - USB 3.2 Type-A - Jack 3,5mm - Webcam - Couleur Silver - Windows 11 - Garantie 1 an"
78,Pc Portable Lenovo IdeaPad 1 15IAU7 / i3-1215U / 24 Go / Gris / Avec Sac Lenovo Offert,"1 069,000 DT","Écran 15.6"" Full HD (1920 x 1080), antireflet - Processeur Intel Core i3-1215U 12e génération, (jusqu’à 4.4, 10 Mo de mémoire cache) - Mémoire 24 Go DDR4 - Disque SSD NVMe M.2 256 Go - Carte graphique Intel UHD Graphics - Lecteur de carte SD - 2x Haut-parleurs stéréo 1.5W, Dolby Audio - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi 6 - Bluetooth 5.2 - 1x USB 2.0 - 1x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4b - 1x prise combo casque/microphone (3.5 mm) - FreeDOS - Couleur Gris - Garantie 2 ans Avec Sac Lenovo Offert"
79,Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 8 Go / Win11 / Silver,"1 069,000 DT","Ecran 15.6"" LED Full HD - Processeur Intel Core i3-1315U Up to 4.5 GHz, 10 Mo de mémoire cache - Mémoire 8 Go - Disque 256 Go SSD - Carte graphique Intel UHD graphics - WiFi - Bluetooth - HDMI - USB 3.2 Type C - USB 3.2 Type-A - Jack 3,5mm - Webcam - Couleur Silver - Windows 11 - Garantie 1 an"
80,Pc Portable Lenovo IdeaPad 1 15IAU7 / i3-1215U / 16 Go / Gris / Avec Sac Lenovo Offert,"1 079,000 DT","Écran 15.6"" Full HD (1920 x 1080), antireflet - Processeur Intel Core i3-1215U 12e génération, (jusqu’à 4.4, 10 Mo de mémoire cache) - Mémoire 16 Go DDR4 - Disque SSD NVMe M.2 512 Go - Carte graphique Intel UHD Graphics - Lecteur de carte SD - 2x Haut-parleurs stéréo 1.5W, Dolby Audio - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi 6 - Bluetooth 5.2 - 1x USB 2.0 - 1x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4b - 1x prise combo casque/microphone (3.5 mm) - Windows 11 - Couleur Gris - Garantie 2 ans Avec Sac Lenovo Offert"
81,Pc Portable DELL Vostro 3520 / i3-1215U / 16 Go / Windows 11 / Noir,"1 084,000 DT","Écran 15,6"" HD - Processeur Intel Core i3-1215U, 12e génération, up to 4.4 GHz, 10 Mo de mémoire Cache - Mémoire 16 Go - Disque SSD 256 Go M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Caméra HD 720p -  - WiFi - Bluetooth - USB 3.2 - 1 prise casque - 1x HDMI 1.4 - 1x RJ-45 - Lecteur de carte SD - Windows 11 - Couleur Noir - Garantie 1 an"
82,PC PORTABLE LENOVO V15 I3-1215U 8G 512GSSD +  Sacoche  Offerte,"1 089,000 DT","Écran 15.6"" FULL HD - Processeur : Intel Core i3-1215U (up to 4,40 GHz Turbo max, 10 Mo de mémoire cache, Hexa-Core) - Mémoire : 8G - Disque Dur : 512 Go SSD - Carte Graphique : Intel UHD Graphics - Wi-Fi - Bluetooth - 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1 - 1x HDMI 1.4b - 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm) - 1x connecteur d'alimentation - Couleur: Noir - Garantie: 2 ans"
83,"PC PORTABLE DELL VOSTRO I3-1215U 8G 512SSD 15.6"" Windows 11","1 091,000 DT","Écran 15,6"" HD - Processeur Intel Core i3-1215U, 12e génération, up to 4.4 GHz, 10 Mo de mémoire Cache - Mémoire 8 Go - Disque SSD 512 Go M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Caméra HD 720p -  - WiFi - Bluetooth - USB 3.2 - 1 prise casque - 1x HDMI 1.4 - 1x RJ-45 - Lecteur de carte SD - Windows 11 - Couleur Noir - Garantie 1 an"
84,Pc Portable DELL Vostro 3520 / i3-1215U / 24 Go / 512 Go SSD / Noir,"1 095,000 DT","Écran 15.6"" Full HD - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 24 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - FreeDos - Couleur Noir - Garantie 1 an"
85,Pc Portable Lenovo IdeaPad 3 15IAU7 / i3-1215U / 16 Go / 512 Go SSD / Windows 11 / Bleu + Sacoche Lenovo Offerte,"1 099,000 DT","Écran 15.6"" Full HD (1 920 x 1 080), antireflet - Processeur Intel Core i3-1215U 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire cache) - Mémoire 16 Go DDR4 - Disque SSD M.2 NVMe 512 Go - Carte graphique Intel UHD Graphics - Lecteur de carte SD - 2x Haut-parleurs stéréo Dolby Audio 1.5 W - Caméra HD 720p avec obturateur de confidentialité  - Wi-Fi 6 - Bluetooth 5.2 - 1x USB 2.0 - 1x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4b - 1x prise combo casque/microphone (3.5 mm) - Windows 11 - Couleur Bleu - Garantie 2 ans + Sacoche Lenovo Offerte"
86,Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 8 Go / Win11 / Silver + Cadeau surprise,"1 099,000 DT","Ecran 15.6"" LED Full HD - Processeur Intel Core i3-1315U Up to 4.5 GHz, 10 Mo de mémoire cache - Mémoire 8 Go - Disque 256 Go SSD - Carte graphique Intel UHD graphics - WiFi - Bluetooth - HDMI - USB 3.2 Type C - USB 3.2 Type-A - Jack 3,5mm - Webcam - Couleur Silver - Windows 11 - Garantie 1 an"
87,Pc Portable Asus VivoBook 15 X1504 / i3-1315U / 8 Go / 256 Go SSD / Windows 11 / Bleu + Cadeau surprise,"1 099,000 DT","Écran 15.6"" LED Full HD - Processeur Intel Core i3-1315U 13e génération, (Up to 4.5 GHz, 10 Mo de mémoire cache) - Mémoire 8 Go DDR5 - Disque SSD 256 Go - Carte graphique Intel UHD graphics - WiFi - Bluetooth - HDMI - USB 3.2 Type C - USB 3.2 Type-A - Jack 3,5mm - Webcam - Windows 11 - Couleur Bleu - Garantie 1 an"
88,Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 8 Go / Win11 / Silver,"1 099,000 DT","Ecran 15.6"" LED Full HD - Processeur Intel Core i3-1315U Up to 4.5 GHz, 10 Mo de mémoire cache - Mémoire 8 Go - Disque 256 Go SSD - Carte graphique Intel UHD graphics - WiFi - Bluetooth - HDMI - USB 3.2 Type C - USB 3.2 Type-A - Jack 3,5mm - Webcam - Couleur Silver - Windows 11 - Garantie 1 an"
89,Pc Portable Asus VivoBook 15 X1504 / i3-1315U / 8 Go / 256 Go SSD / Windows 11 / Bleu,"1 099,000 DT","Écran 15.6"" LED Full HD - Processeur Intel Core i3-1315U 13e génération, (Up to 4.5 GHz, 10 Mo de mémoire cache) - Mémoire 8 Go DDR5 - Disque SSD 256 Go - Carte graphique Intel UHD graphics - WiFi - Bluetooth - HDMI - USB 3.2 Type C - USB 3.2 Type-A - Jack 3,5mm - Webcam - Windows 11 - Couleur Bleu - Garantie 1 an"
90,Pc Portable HP 15-FD0060NK / i3-N305 / 8 Go / 256Go SSD / Silver,"1 109,000 DT","Écran Full HD 15.6"" (1920 x 1080), antireflet - Processeur Intel Core i3-N305, (jusqu’à 3.8 GHz, 6 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD NVMe M.2 256 Go - Carte graphique Intel UHD Intégré - Wi-Fi 6 - Bluetooth 5.3 - Clavier complet gris clair avec pavé numérique - Caméra HP True Vision HD 720p - Doubles haut-parleurs - 1x USB-C - 2x USB-A - 1x HDMI 1.4b - 1x prise combinée casque/microphone - FreeDOS - Couleur Silver - Garantie 1 an"
91,Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 12 Go / Win11 / Silver,"1 109,000 DT","Ecran 15.6"" LED Full HD - Processeur Intel Core i3-1315U Up to 4.5 GHz, 10 Mo de mémoire cache - Mémoire 12 Go - Disque 256 Go SSD - Carte graphique Intel UHD graphics - WiFi - Bluetooth - HDMI - USB 3.2 Type C - USB 3.2 Type-A - Jack 3,5mm - Webcam - Couleur Silver - Windows 11 - Garantie 1 an"
92,Pc Portable DELL Vostro 3530 / i3-1305U / 8 Go / Noir,"1 109,000 DT","Écran 15,6"" FHD, 120Hz - Processeur Processeur Intel Core i3-1305U, 13e génération, up to 4.5 GHz, 10 Mo de mémoire Cache - Mémoire 8 Go - Disque SSD 256 Go M.2, PCIe NVMe - Carte Graphique Intel UHD graphics - Webcam - WiFi - Bluetooth - USB 3.2 Type-A - USB 3.2 Type-C - 1 Prise casque - 1x HDMI 1.4 - 1x RJ-45 - Lecteur de carte SD - Windows 11 - Couleur Noir - Garantie 1 an"
93,Pc Portable Asus VivoBook 15 X1504 / i3 13è Gén / 12 Go / Win11 / Bleu,"1 109,000 DT","Ecran 15.6"" LED Full HD - Processeur Intel Core i3-1315U Up to 4.5 GHz, 10 Mo de mémoire cache - Mémoire 12 Go - Disque 256 Go SSD - Carte graphique Intel UHD graphics - WiFi - Bluetooth - HDMI - USB 3.2 Type C - USB 3.2 Type-A - Jack 3,5mm - Webcam - Couleur Silver - Windows 11 - Garantie 1 an"
94,PC PORTABLE LENOVO V15 / I3-1215U / 12 Go / 512 Go SSD +  Sacoche  Offerte,"1 109,000 DT","Écran 15.6"" FULL HD - Processeur : Intel Core i3-1215U (up to 4,40 GHz Turbo max, 10 Mo de mémoire cache, Hexa-Core) - Mémoire : 12G - Disque Dur : 512 Go SSD - Carte Graphique : Intel UHD Graphics - Wi-Fi - Bluetooth - 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1 - 1x HDMI 1.4b - 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm) - 1x connecteur d'alimentation - Couleur: Noir - Garantie: 2 ans"
95,Pc Portable HP 15-FD0057NK / i3-N305 / 8 Go / 256SSD /  Bleu,"1 109,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ), antireflet - Processeur Intel Core i3-N305, jusqu'à to 3.8 GHz, 6 Mo de mémoire Cache - Mémoire 8 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD - Wi-Fi 6 - Bluetooth 5.3 - Caméra HD 720p - Doubles haut-parleurs - Clavier rétroéclairé avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Bleu- FreeDOS - Garantie 1 an"
96,Pc Portable HP 15-FD0056NK / i3-N305 / 8 Go / 256 Go SSD / Gold,"1 109,000 DT","Écran Full HD 15.6"" (1920 x 1080), antireflet - Processeur Intel Core i3-N305, (jusqu’à 3.8 GHz, 6 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD NVMe M.2 256 Go - Carte graphique Intel UHD Intégré - Wi-Fi 6 - Bluetooth 5.3 - Clavier complet gris clair avec pavé numérique - Caméra HP True Vision HD 720p - Doubles haut-parleurs - 1x USB-C - 2x USB-A - 1x HDMI 1.4b - 1x prise combinée casque/microphone - FreeDOS - Couleur Gold - Garantie 1 an"
